Player,G,TRB,AST,STL,BLK,TOV,PTS
DeMar DeRozan,79,4.3,5.3,1.1,0.6,1.7,24.0
Coby White,79,4.5,5.1,0.7,0.2,2.1,19.1
Zach LaVine,25,5.2,3.9,0.8,0.3,2.1,19.5
Nikola Vučević,76,10.5,3.3,0.7,0.8,1.6,18.0
Ayo Dosunmu,76,2.8,3.2,0.9,0.5,1.4,12.2
Alex Caruso,71,3.8,3.5,1.7,1.0,1.4,10.1
Patrick Williams,43,3.9,1.5,0.9,0.8,1.3,10.0
Javonte Green,9,7.4,0.6,1.1,0.9,0.8,12.2
Torrey Craig,53,4.1,1.1,0.6,0.4,0.6,5.7
Andre Drummond,79,9.0,0.5,0.9,0.6,1.0,8.4
Jevon Carter,72,0.8,1.3,0.5,0.2,0.5,5.0
Onuralp Bitim,23,1.4,0.6,0.1,0.1,0.4,3.5
Dalen Terry,59,1.9,1.4,0.5,0.3,0.5,3.1
Julian Phillips,40,0.9,0.3,0.2,0.2,0.3,2.2
Henri Drell,4,1.0,1.0,0.5,0.3,0.5,2.8
Adama Sanogo,9,4.0,0.0,0.1,0.0,0.6,4.0
Terry Taylor,31,1.2,0.3,0.2,0.1,0.2,1.5
Andrew Funk,5,0.0,0.0,0.2,0.2,0.0,0.0
Anthony Davis,76,12.6,3.5,1.2,2.3,2.1,24.7
LeBron James,71,7.3,8.3,1.3,0.5,3.5,25.7
D'Angelo Russell,76,3.1,6.3,0.9,0.5,2.1,18.0
Austin Reaves,82,4.3,5.5,0.8,0.3,2.1,15.9
Taurean Prince,78,2.9,1.5,0.7,0.4,0.9,8.9
Rui Hachimura,68,4.3,1.2,0.6,0.4,0.7,13.6
Spencer Dinwiddie,28,1.7,2.4,0.5,0.5,1.0,6.8
Cam Reddish,48,2.1,1.0,1.0,0.3,0.6,5.4
Jarred Vanderbilt,29,4.8,1.2,1.2,0.2,1.0,5.2
Gabe Vincent,11,0.8,1.9,0.8,0.0,0.5,3.1
Christian Wood,50,5.1,1.0,0.3,0.7,1.0,6.9
Max Christie,67,2.1,0.9,0.3,0.3,0.5,4.2
Jaxson Hayes,70,3.0,0.5,0.5,0.4,0.6,4.3
D'Moi Hodge,7,0.0,0.7,0.1,0.1,0.1,2.0
Jalen Hood-Schifino,21,0.6,0.4,0.1,0.1,0.4,1.6
Skylar Mays,17,0.4,0.6,0.4,0.1,0.1,1.3
Colin Castleton,16,0.8,0.2,0.1,0.0,0.2,1.5
Alex Fudge,4,0.5,0.0,0.0,0.0,0.3,1.0
Dylan Windler,8,0.4,0.8,0.0,0.0,0.0,1.5
Maxwell Lewis,34,0.1,0.2,0.1,0.0,0.3,0.3
Harry Giles,7,0.6,0.0,0.1,0.0,0.0,0.3
Jayson Tatum,74,8.1,4.9,1.0,0.6,2.5,26.9
Jaylen Brown,70,5.5,3.6,1.2,0.5,2.4,23.0
Jrue Holiday,69,5.4,4.8,0.9,0.8,1.8,12.5
Derrick White,73,4.2,5.2,1.0,1.2,1.5,15.2
Kristaps Porziņģis,57,7.2,2.0,0.7,1.9,1.6,20.1
Al Horford,65,6.4,2.6,0.6,1.0,0.7,8.6
Payton Pritchard,82,3.2,3.4,0.5,0.1,0.7,9.6
Sam Hauser,79,3.5,1.0,0.5,0.3,0.4,9.0
Luke Kornet,63,4.1,1.1,0.4,1.0,0.3,5.3
Xavier Tillman Sr.,20,2.7,1.0,0.5,0.5,0.3,4.0
Neemias Queta,28,4.4,0.7,0.5,0.8,0.5,5.5
Oshae Brissett,55,2.9,0.8,0.3,0.1,0.4,3.7
Svi Mykhailiuk,41,1.2,0.9,0.3,0.0,0.3,4.0
Jordan Walsh,9,2.2,0.6,0.6,0.1,0.3,1.7
Drew Peterson,3,0.3,0.3,0.7,0.0,0.3,3.7
Jaden Springer,17,1.2,0.5,0.6,0.2,0.5,2.1
Dalano Banton,24,1.5,0.8,0.2,0.1,0.4,2.3
Lamar Stevens,19,1.6,0.4,0.3,0.3,0.5,2.8
JD Davison,8,1.3,1.3,0.1,0.1,0.3,2.0
Mikal Bridges,82,4.5,3.6,1.0,0.4,2.0,19.6
Dennis Schröder,29,3.5,6.0,0.6,0.3,2.4,14.6
Cam Thomas,66,3.2,2.9,0.7,0.2,1.9,22.5
Spencer Dinwiddie,48,3.3,6.0,0.8,0.2,1.3,12.6
Nic Claxton,71,9.9,2.1,0.6,2.1,1.3,11.8
Dorian Finney-Smith,68,4.7,1.6,0.8,0.6,0.9,8.5
Cameron Johnson,58,4.3,2.4,0.8,0.3,1.0,13.4
Royce O'Neale,49,4.5,2.8,0.7,0.6,1.0,7.4
Ben Simmons,15,7.9,5.7,0.8,0.6,1.8,6.1
Dennis Smith Jr.,56,2.9,3.6,1.2,0.2,1.2,6.6
Lonnie Walker IV,58,2.2,1.3,0.6,0.3,0.9,9.7
Noah Clowney,23,3.5,0.8,0.3,0.7,0.7,5.8
Jalen Wilson,43,3.0,1.0,0.3,0.1,0.4,5.0
Day'Ron Sharpe,61,6.4,1.4,0.4,0.7,1.1,6.8
Trendon Watford,63,3.1,1.3,0.4,0.3,1.0,6.9
Keon Johnson,5,1.4,0.6,0.6,0.2,1.0,6.2
Dariq Whitehead,2,2.0,1.5,0.0,0.5,0.0,1.5
Jacob Gilyard,4,0.8,1.5,1.5,0.0,0.3,0.0
Armoni Brooks,10,1.8,0.5,0.1,0.1,0.3,4.2
Harry Giles,16,1.6,0.4,0.1,0.2,0.4,3.4
Keita Bates-Diop,14,0.6,0.3,0.2,0.1,0.1,1.6
Scottie Barnes,60,8.2,6.1,1.3,1.5,2.8,19.9
Pascal Siakam,39,6.3,4.9,0.8,0.3,2.1,22.2
RJ Barrett,32,6.4,4.1,0.6,0.4,2.5,21.8
Immanuel Quickley,38,4.8,6.8,0.9,0.2,1.8,18.6
OG Anunoby,27,3.9,2.7,1.0,0.5,1.6,15.1
Dennis Schröder,51,2.7,6.1,0.9,0.2,1.6,13.7
Gary Trent Jr.,71,2.6,1.7,1.1,0.1,0.7,13.7
Jakob Poeltl,50,8.6,2.5,0.7,1.5,1.5,11.1
Kelly Olynyk,28,5.6,4.6,1.3,0.6,2.5,12.7
Bruce Brown,34,3.8,2.7,0.7,0.3,1.3,9.6
Ochai Agbaji,27,3.3,1.3,0.7,0.6,1.1,6.7
Gradey Dick,60,2.2,1.1,0.6,0.0,0.8,8.5
Javon Freeman-Liberty,22,3.2,1.8,0.5,0.2,1.1,7.0
Precious Achiuwa,25,5.4,1.8,0.6,0.5,1.2,7.7
Jahmi'us Ramsey,7,3.1,1.1,1.0,0.0,1.0,6.7
Kobi Simmons,4,1.8,3.0,1.5,0.5,0.3,5.0
Jordan Nwora,34,3.4,1.3,0.6,0.4,1.2,7.9
Malachi Flynn,31,2.1,2.4,0.6,0.2,1.1,5.1
Malik Williams,7,5.4,0.3,0.4,0.6,0.4,2.7
Thaddeus Young,23,3.3,2.2,0.8,0.1,0.5,5.0
Chris Boucher,50,4.1,0.5,0.3,0.5,0.6,6.4
Jontay Porter,26,3.2,2.3,0.8,0.8,0.8,4.4
Otto Porter Jr.,15,1.9,0.5,0.3,0.3,0.1,2.6
Mouhamadou Gueye,11,2.1,0.5,0.3,1.6,1.1,2.4
Jalen McDaniels,50,1.6,0.7,0.4,0.1,0.6,3.4
Garrett Temple,27,1.7,1.0,0.4,0.1,0.5,3.3
D.J. Carton,4,1.0,0.8,0.3,0.0,0.3,2.8
Markquis Nowell,1,2.0,2.0,1.0,0.0,0.0,2.0
Ron Harper Jr.,1,0.0,1.0,0.0,0.0,0.0,0.0
Kira Lewis Jr.,1,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Maxey,70,3.7,6.2,1.0,0.5,1.7,25.9
Tobias Harris,70,6.5,3.1,1.0,0.7,1.3,17.2
Joel Embiid,39,11.0,5.6,1.2,1.7,3.8,34.7
Kelly Oubre Jr.,68,5.0,1.5,1.1,0.7,1.3,15.4
Kyle Lowry,23,2.8,4.6,0.9,0.3,1.4,8.0
De'Anthony Melton,38,3.7,3.0,1.6,0.4,1.0,11.1
Nicolas Batum,57,4.2,2.2,0.8,0.6,0.7,5.5
Buddy Hield,32,3.2,3.0,0.8,0.3,1.3,12.2
P.J. Tucker,3,4.7,0.0,1.0,0.7,0.7,2.0
Patrick Beverley,47,3.1,3.1,0.5,0.4,1.0,6.3
Cameron Payne,31,1.8,3.1,0.6,0.3,1.1,9.3
Paul Reed,82,6.0,1.3,0.8,1.0,0.8,7.3
Marcus Morris,37,2.9,0.7,0.4,0.3,0.5,6.7
Robert Covington,26,3.4,0.7,1.3,0.6,0.4,4.5
Danuel House Jr.,34,1.7,0.8,0.4,0.1,0.6,4.2
Mo Bamba,57,4.2,0.7,0.4,1.1,0.7,4.4
KJ Martin,58,2.2,0.9,0.3,0.2,0.5,3.7
Jeff Dowtin,12,1.7,2.3,0.6,0.1,0.4,4.3
Jaden Springer,32,1.8,1.1,0.8,0.3,0.8,4.0
Danny Green,2,1.0,0.5,0.5,0.0,0.0,0.0
Ricky Council IV,32,1.4,0.5,0.3,0.0,0.2,5.4
Furkan Korkmaz,35,0.9,0.7,0.4,0.1,0.3,2.5
D.J. Wilson,2,1.0,1.0,0.0,1.0,0.0,5.0
Terquavion Smith,16,0.3,0.8,0.5,0.0,0.4,3.3
Kenneth Lofton Jr.,2,1.5,0.0,0.0,0.0,1.0,1.0
Darius Bazley,3,0.3,0.7,0.0,0.0,0.3,0.0
Filip Petrušev,1,1.0,0.0,0.0,0.0,0.0,0.0
Javonte Smart,1,0.0,0.0,0.0,0.0,0.0,0.0
Julius Randle,46,9.2,5.0,0.5,0.3,3.5,24.0
Jalen Brunson,77,3.6,6.7,0.9,0.2,2.4,28.7
OG Anunoby,23,4.4,1.5,1.7,1.0,1.7,14.1
Josh Hart,81,8.3,4.1,0.9,0.3,1.5,9.4
RJ Barrett,26,4.3,2.4,0.5,0.3,1.8,18.2
Donte DiVincenzo,81,3.7,2.7,1.3,0.4,1.4,15.5
Isaiah Hartenstein,75,8.3,2.5,1.2,1.1,1.2,7.8
Mitchell Robinson,31,8.5,0.6,1.2,1.1,0.8,5.6
Precious Achiuwa,49,7.2,1.1,0.6,1.1,1.1,7.6
Immanuel Quickley,30,2.6,2.5,0.5,0.1,1.0,15.0
Quentin Grimes,45,2.0,1.2,0.7,0.1,0.5,7.3
Miles McBride,68,1.5,1.7,0.7,0.1,0.4,8.3
Bojan Bogdanović,29,2.0,0.9,0.2,0.0,1.3,10.4
Alec Burks,23,1.7,0.9,0.3,0.0,0.7,6.5
Evan Fournier,3,1.3,1.0,1.3,0.0,0.3,4.0
Jericho Sims,45,3.3,0.6,0.2,0.4,0.4,2.0
Taj Gibson,16,1.8,0.6,0.1,0.4,0.3,1.0
Charlie Brown Jr.,8,0.3,0.0,0.0,0.3,0.3,0.8
Shake Milton,6,1.0,0.7,0.2,0.0,0.0,1.8
Malachi Flynn,14,0.4,0.4,0.1,0.0,0.2,2.2
Jacob Toppin,9,0.8,0.3,0.0,0.1,0.1,1.4
Mamadi Diakite,3,0.3,0.0,0.3,0.0,0.3,0.0
DaQuan Jeffries,17,0.3,0.3,0.0,0.1,0.2,0.8
Ryan Arcidiacono,20,0.4,0.2,0.1,0.0,0.1,0.0
Dylan Windler,3,0.3,0.3,0.0,0.0,0.0,1.0
Dmytro Skapintsev,2,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Mitchell,55,5.1,6.1,1.8,0.5,2.8,26.6
Darius Garland,57,2.7,6.5,1.3,0.1,3.1,18.0
Max Strus,70,4.8,4.0,0.9,0.4,1.6,12.2
Jarrett Allen,77,10.5,2.7,0.7,1.1,1.6,16.5
Evan Mobley,50,9.4,3.2,0.9,1.4,1.8,15.7
Caris LeVert,68,4.1,5.1,1.1,0.5,1.7,14.0
Isaac Okoro,69,3.0,1.9,0.8,0.5,0.8,9.4
Georges Niang,82,3.4,1.2,0.4,0.2,0.9,9.4
Dean Wade,54,4.0,0.8,0.7,0.5,0.4,5.4
Sam Merrill,61,2.0,1.8,0.3,0.1,0.3,8.0
Marcus Morris,12,2.1,0.8,0.2,0.2,0.9,5.8
Craig Porter Jr.,51,2.1,2.3,0.4,0.3,0.9,5.6
Tristan Thompson,49,3.6,1.0,0.2,0.3,0.6,3.3
Emoni Bates,15,0.9,0.7,0.1,0.1,0.5,2.7
Ty Jerome,2,0.5,1.5,0.0,0.0,0.5,2.0
Isaiah Mobley,10,1.0,0.6,0.2,0.0,0.2,2.3
Damian Jones,39,1.6,0.4,0.2,0.3,0.3,2.7
Pete Nance,8,0.4,0.0,0.1,0.0,0.1,0.4
Cade Cunningham,62,4.3,7.5,0.9,0.4,3.4,22.7
Bojan Bogdanović,28,3.4,2.5,0.8,0.1,2.3,20.2
Isaiah Stewart,46,6.6,1.6,0.4,0.8,1.4,10.9
Simone Fontecchio,16,4.4,1.8,0.9,0.3,1.1,15.4
Chimezie Metu,14,6.0,1.9,1.7,0.5,1.8,10.5
Jalen Duren,61,11.6,2.4,0.5,0.8,2.1,13.8
Jaden Ivey,77,3.4,3.8,0.7,0.5,2.5,15.4
Ausar Thompson,63,6.4,1.9,1.1,0.9,1.3,8.8
Killian Hayes,42,2.8,4.9,0.9,0.5,1.2,6.9
Tosan Evbuomwan,13,3.5,0.8,0.5,0.3,0.6,7.0
Alec Burks,43,2.6,1.6,0.5,0.3,0.7,12.6
Isaiah Livers,23,2.1,1.1,0.6,0.2,0.7,5.0
Quentin Grimes,6,2.0,2.3,0.8,0.7,1.2,5.3
Troy Brown Jr.,22,3.3,1.1,0.7,0.0,0.5,4.2
Marcus Sasser,71,1.8,3.3,0.6,0.2,1.3,8.3
Evan Fournier,29,1.9,1.6,0.9,0.2,0.7,7.2
Marvin Bagley III,26,4.5,1.0,0.2,0.5,1.1,10.2
Kevin Knox,31,2.4,0.7,0.4,0.2,0.7,7.2
James Wiseman,63,5.3,0.9,0.2,0.6,1.0,7.1
Shake Milton,4,4.5,1.5,0.5,0.3,0.8,6.8
Danilo Gallinari,6,2.3,2.0,0.3,0.3,0.2,8.7
Jaylen Nowell,4,2.5,0.8,0.3,0.5,0.5,7.5
Jared Rhoden,17,1.9,0.8,0.2,0.8,0.4,4.9
Malachi Flynn,24,1.8,2.1,0.8,0.1,1.1,8.0
Mike Muscala,13,2.2,0.8,0.2,0.4,0.2,3.5
Stanley Umude,24,2.1,0.5,0.3,0.3,0.6,5.3
Monte Morris,6,2.0,1.3,0.2,0.2,0.3,4.5
Joe Harris,16,0.8,0.6,0.2,0.1,0.3,2.4
Taj Gibson,4,2.3,0.5,0.3,0.3,0.0,4.5
Buddy Boeheim,10,1.0,0.3,0.0,0.1,0.0,3.4
Malcolm Cazalon,1,0.0,0.0,0.0,0.0,0.0,0.0
Tyrese Haliburton,69,3.9,10.9,1.2,0.7,2.3,20.1
Pascal Siakam,41,7.8,3.7,0.8,0.4,1.4,21.3
Bruce Brown,33,4.7,3.0,1.1,0.2,1.2,12.1
Aaron Nesmith,72,3.8,1.5,0.9,0.7,0.9,12.2
Myles Turner,77,6.9,1.3,0.5,1.9,1.4,17.1
Bennedict Mathurin,59,4.0,2.0,0.6,0.2,1.6,14.5
Buddy Hield,52,3.2,2.7,0.8,0.6,1.2,12.0
Andrew Nembhard,68,2.1,4.1,0.9,0.1,1.5,9.2
Obi Toppin,82,3.9,1.6,0.6,0.5,0.8,10.3
T.J. McConnell,71,2.7,5.5,1.0,0.1,1.5,10.2
Jalen Smith,61,5.5,1.0,0.3,0.6,0.7,9.9
Ben Sheppard,57,1.6,0.9,0.6,0.0,0.3,4.4
Isaiah Jackson,59,4.0,0.8,0.6,1.0,0.7,6.5
Doug McDermott,18,0.6,0.7,0.3,0.0,0.2,4.2
Jarace Walker,33,1.9,1.2,0.5,0.3,0.5,3.6
Jordan Nwora,18,1.8,1.0,0.3,0.1,0.7,5.2
Daniel Theis,1,0.0,0.0,0.0,0.0,0.0,2.0
Oscar Tshiebwe,8,2.0,0.3,0.3,0.1,0.0,3.3
James Johnson,9,0.4,0.9,0.6,0.1,0.6,0.9
Kendall Brown,15,0.3,0.3,0.0,0.0,0.1,1.4
Isaiah Wong,1,0.0,0.0,0.0,0.0,0.0,2.0
Quenton Jackson,3,1.3,0.7,0.3,0.0,0.0,0.7
Damian Lillard,73,4.4,7.0,1.0,0.2,2.6,24.3
Giannis Antetokounmpo,73,11.5,6.5,1.2,1.1,3.4,30.4
Brook Lopez,79,5.2,1.6,0.5,2.4,1.0,12.5
Malik Beasley,79,3.7,1.4,0.7,0.1,0.7,11.3
Khris Middleton,55,4.7,5.3,0.9,0.3,2.3,15.1
Bobby Portis,82,7.4,1.3,0.8,0.4,1.1,13.8
Jae Crowder,50,3.2,1.3,0.8,0.2,0.5,6.2
Pat Connaughton,76,3.1,2.1,0.5,0.3,0.6,5.6
Patrick Beverley,26,3.6,2.6,0.7,0.5,0.6,6.0
Cameron Payne,47,1.3,2.3,0.5,0.1,0.7,6.2
MarJon Beauchamp,48,2.1,0.6,0.3,0.1,0.6,4.4
A.J. Green,56,1.1,0.5,0.2,0.1,0.2,4.5
Andre Jackson Jr.,57,2.0,0.9,0.3,0.1,0.5,2.2
Danilo Gallinari,17,1.1,0.7,0.4,0.1,0.6,2.8
TyTy Washington Jr.,11,0.5,0.5,0.3,0.0,0.2,1.3
Thanasis Antetokounmpo,34,0.4,0.5,0.2,0.1,0.4,0.9
Chris Livingston,21,1.0,0.2,0.1,0.0,0.2,1.2
Robin Lopez,16,0.3,0.3,0.1,0.2,0.1,1.1
Ryan Rollins,3,0.7,1.0,0.7,0.0,0.3,1.0
Lindell Wigginton,3,0.0,0.0,0.0,0.0,0.3,2.0
Marques Bolden,2,1.0,0.0,0.0,0.0,0.0,0.0
Kyle Kuzma,70,6.6,4.2,0.5,0.7,2.7,22.2
Jordan Poole,78,2.7,4.4,1.1,0.3,2.4,17.4
Deni Avdija,75,7.2,3.8,0.8,0.5,2.1,14.7
Tyus Jones,66,2.7,7.3,1.1,0.3,1.0,12.0
Bilal Coulibaly,63,4.1,1.7,0.9,0.8,1.4,8.4
Daniel Gafford,45,8.0,1.5,1.0,2.2,1.0,10.9
Corey Kispert,80,2.8,2.0,0.5,0.2,1.2,13.4
Marvin Bagley III,24,8.1,1.2,0.6,0.8,1.3,13.3
Richaun Holmes,17,6.1,0.6,0.5,0.6,0.7,7.1
Landry Shamet,46,1.3,1.2,0.5,0.2,0.7,7.1
Justin Champagnie,15,3.5,1.3,0.7,0.6,0.7,5.9
Tristan Vukcevic,10,3.6,1.3,0.5,0.7,1.0,8.5
Danilo Gallinari,26,2.9,1.2,0.2,0.1,0.5,7.0
Jared Butler,40,1.5,3.2,0.7,0.2,1.3,6.3
Mike Muscala,24,3.1,0.9,0.2,0.3,0.7,4.0
Delon Wright,33,1.8,2.5,1.1,0.2,0.3,4.1
Patrick Baldwin Jr.,38,3.2,0.8,0.5,0.4,0.5,4.4
Johnny Davis,50,1.4,0.6,0.4,0.2,0.3,3.0
Anthony Gill,50,1.9,0.7,0.3,0.2,0.5,3.8
Eugene Omoruyi,43,2.0,0.8,0.6,0.1,0.5,4.8
Jules Bernard,19,1.4,0.8,0.2,0.1,0.4,3.9
Ryan Rollins,10,1.1,1.1,0.8,0.3,0.7,4.1
Hamidou Diallo,2,1.0,0.5,1.0,0.0,0.5,1.0
Trey Jemison,2,0.5,0.0,0.0,0.0,0.5,0.0
Trae Young,54,2.8,10.8,1.3,0.2,4.4,25.7
Dejounte Murray,78,5.3,6.4,1.4,0.3,2.6,22.5
Jalen Johnson,56,8.7,3.6,1.2,0.8,1.8,16.0
Saddiq Bey,63,6.5,1.5,0.8,0.2,0.9,13.7
Bogdan Bogdanović,79,3.4,3.1,1.2,0.3,1.4,16.9
De'Andre Hunter,57,3.9,1.5,0.7,0.3,1.5,15.6
Clint Capela,73,10.6,1.2,0.6,1.5,1.0,11.5
Onyeka Okongwu,55,6.8,1.3,0.5,1.1,0.8,10.2
Vit Krejci,22,2.4,2.3,0.6,0.3,0.9,6.1
Bruno Fernando,45,4.3,1.0,0.6,0.6,1.0,6.3
Garrison Mathews,66,1.4,0.6,0.3,0.1,0.3,4.9
Mouhamed Gueye,6,3.7,0.7,0.8,0.7,0.2,4.0
Dylan Windler,6,2.0,0.5,0.3,0.0,0.3,4.7
Wesley Matthews,36,1.5,0.6,0.4,0.3,0.2,3.1
Kobe Bufkin,17,1.9,1.6,0.4,0.3,0.6,4.8
Trent Forrest,38,1.3,2.4,0.3,0.1,0.5,2.2
Patty Mills,19,1.1,0.7,0.5,0.1,0.4,2.7
AJ Griffin,20,0.9,0.3,0.1,0.1,0.4,2.4
Seth Lundy,9,0.8,0.0,0.0,0.0,0.1,1.6
Paolo Banchero,80,6.9,5.4,0.9,0.6,3.1,22.6
Franz Wagner,72,5.3,3.7,1.1,0.4,1.9,19.7
Jalen Suggs,75,3.1,2.7,1.4,0.6,1.8,12.6
Wendell Carter Jr.,55,6.9,1.7,0.6,0.5,1.2,11.0
Gary Harris,54,1.7,1.6,0.9,0.3,0.6,6.9
Cole Anthony,81,3.8,2.9,0.8,0.5,1.6,11.6
Markelle Fultz,43,3.2,2.8,1.0,0.3,1.2,7.8
Moritz Wagner,80,4.3,1.2,0.5,0.3,1.2,10.9
Joe Ingles,68,2.1,3.0,0.6,0.1,1.0,4.4
Anthony Black,69,2.0,1.3,0.5,0.3,0.8,4.6
Jonathan Isaac,58,4.5,0.5,0.7,1.2,0.5,6.8
Goga Bitadze,62,4.6,1.3,0.5,1.2,0.7,5.0
Caleb Houstan,59,1.4,0.5,0.3,0.1,0.3,4.3
Trevelin Queen,14,1.4,1.3,0.5,0.4,0.5,2.9
Chuma Okeke,47,1.7,0.4,0.2,0.1,0.3,2.3
Jett Howard,18,0.4,0.3,0.1,0.1,0.2,1.6
Admiral Schofield,23,0.7,0.3,0.0,0.0,0.2,1.1
Kevon Harris,2,1.0,0.5,0.0,0.0,0.5,2.0
Bam Adebayo,71,10.4,3.9,1.1,0.9,2.3,19.3
Jimmy Butler,60,5.3,5.0,1.3,0.3,1.7,20.8
Tyler Herro,42,5.3,4.5,0.7,0.1,2.2,20.8
Terry Rozier,31,4.2,4.6,1.0,0.3,1.3,16.4
Jaime Jaquez Jr.,75,3.8,2.6,1.0,0.3,1.5,11.9
Duncan Robinson,68,2.5,2.8,0.7,0.2,1.4,12.9
Kyle Lowry,37,3.5,4.0,1.1,0.4,1.4,8.2
Caleb Martin,64,4.4,2.2,0.7,0.5,1.2,10.0
Josh Richardson,43,2.8,2.4,0.6,0.3,0.8,9.9
Haywood Highsmith,66,3.2,1.1,0.8,0.5,0.5,6.1
Delon Wright,14,1.9,2.6,1.4,0.2,0.2,5.4
Nikola Jović,46,4.2,2.0,0.5,0.3,0.9,7.7
