Player,G,TRB,AST,STL,BLK,TOV,PTS
Kevin Love,55,6.1,2.1,0.3,0.2,0.9,8.8
Patty Mills,13,1.2,1.5,0.8,0.0,0.6,5.8
Dru Smith,9,1.6,1.6,1.0,0.3,0.6,4.3
Thomas Bryant,38,3.7,0.6,0.3,0.4,0.6,5.7
Jamal Cain,26,1.4,0.4,0.4,0.2,0.3,3.7
R.J. Hampton,8,0.8,1.0,0.0,0.0,0.4,1.3
Orlando Robinson,36,2.3,0.9,0.2,0.2,0.5,2.8
Cole Swider,18,0.4,0.3,0.1,0.1,0.4,2.3
Alondes Williams,7,0.1,0.0,0.0,0.1,0.3,0.7
Miles Bridges,69,7.3,3.3,0.9,0.5,2.0,21.0
Terry Rozier,30,3.9,6.6,1.1,0.4,2.2,23.2
LaMelo Ball,22,5.1,8.0,1.8,0.2,3.8,23.9
Brandon Miller,74,4.3,2.4,0.9,0.6,1.8,17.3
Gordon Hayward,25,4.7,4.6,1.1,0.5,2.0,14.5
Tre Mann,28,4.5,5.2,1.7,0.1,2.0,11.9
Grant Williams,29,5.1,3.2,0.7,0.4,1.9,13.9
P.J. Washington,44,5.3,2.2,0.9,0.7,1.5,13.6
Vasilije Micić,30,2.1,6.2,0.7,0.1,2.3,10.8
Cody Martin,28,3.9,3.7,1.1,0.6,1.6,7.5
Mark Williams,19,9.7,1.2,0.8,1.1,0.9,12.7
Nick Richards,67,8.0,0.8,0.4,1.1,1.1,9.7
Dāvis Bertāns,28,1.8,0.9,0.8,0.3,0.6,8.8
Seth Curry,8,2.0,1.8,0.6,0.4,0.6,9.0
Aleksej Pokusevski,18,4.4,1.7,0.8,0.7,0.9,7.4
Ish Smith,43,1.8,3.4,0.4,0.1,1.1,3.2
Théo Maledon,13,1.8,2.2,0.5,0.0,1.2,4.2
Bryce McGowens,59,1.7,0.9,0.4,0.2,0.5,5.1
Nick Smith Jr.,51,1.4,1.2,0.2,0.1,0.8,5.9
Marques Bolden,9,3.6,0.4,0.3,0.8,0.3,4.1
JT Thor,63,2.3,0.5,0.2,0.4,0.2,3.2
Nathan Mensah,25,2.6,0.4,0.2,0.6,0.6,1.3
Leaky Black,26,1.8,0.9,0.3,0.4,0.2,2.7
Frank Ntilikina,5,1.2,0.8,0.0,0.0,0.2,1.0
Amari Bailey,10,0.9,0.7,0.3,0.0,0.4,2.3
James Bouknight,14,0.6,0.4,0.1,0.1,0.1,3.6
Anthony Edwards,79,5.4,5.1,1.3,0.5,3.1,25.9
Rudy Gobert,76,12.9,1.3,0.7,2.1,1.6,14.0
Karl-Anthony Towns,62,8.3,3.0,0.7,0.7,2.9,21.8
Jaden McDaniels,72,3.1,1.4,0.9,0.6,1.2,10.5
Mike Conley,76,2.9,5.9,1.2,0.2,1.3,11.4
Naz Reid,81,5.2,1.3,0.8,0.9,1.4,13.5
Nickeil Alexander-Walker,82,2.0,2.5,0.8,0.5,0.9,8.0
Kyle Anderson,79,3.5,4.2,0.9,0.6,1.2,6.4
Monte Morris,27,1.7,2.3,0.7,0.3,0.2,5.1
Shake Milton,38,1.3,1.3,0.4,0.1,0.7,4.7
T.J. Warren,11,2.0,0.8,0.4,0.1,0.4,3.7
Jordan McLaughlin,56,1.3,2.0,0.6,0.1,0.3,3.5
Troy Brown Jr.,37,1.9,0.9,0.2,0.1,0.5,4.2
Luka Garza,25,1.2,0.2,0.2,0.0,0.2,4.0
Daishen Nix,15,0.2,0.4,0.3,0.0,0.3,1.8
Leonard Miller,17,1.2,0.5,0.1,0.1,0.1,1.7
Wendell Moore Jr.,25,0.5,0.2,0.2,0.0,0.2,0.7
Josh Minott,32,0.5,0.3,0.2,0.2,0.1,1.6
Justin Jackson,2,0.0,0.0,0.0,0.0,0.0,0.0
Shai Gilgeous-Alexander,75,5.5,6.2,2.0,0.9,2.2,30.1
Jalen Williams,71,4.0,4.5,1.1,0.6,1.7,19.1
Chet Holmgren,82,7.9,2.4,0.6,2.3,1.6,16.5
Luguentz Dort,79,3.6,1.4,0.9,0.6,0.9,10.9
Josh Giddey,80,6.4,4.8,0.6,0.6,2.1,12.3
Cason Wallace,82,2.3,1.5,0.9,0.5,0.5,6.8
Isaiah Joe,78,2.3,1.3,0.6,0.3,0.6,8.2
Gordon Hayward,26,2.5,1.6,0.5,0.0,0.6,5.3
Aaron Wiggins,78,2.4,1.1,0.7,0.2,0.7,6.9
Kenrich Williams,69,3.0,1.3,0.6,0.1,0.5,4.7
Jaylin Williams,69,3.4,1.6,0.4,0.4,0.5,4.0
Vasilije Micić,30,0.8,2.5,0.3,0.1,1.0,3.3
Ousmane Dieng,33,1.5,1.1,0.2,0.2,0.6,4.0
Tre Mann,13,1.8,1.5,0.2,0.0,0.7,3.8
Lindy Waters III,38,1.1,0.6,0.1,0.2,0.2,3.6
Keyontae Johnson,9,1.1,0.4,0.1,0.0,0.4,1.2
Bismack Biyombo,10,1.8,0.2,0.1,0.3,0.4,1.8
Adam Flagler,2,0.0,2.0,0.0,0.0,0.0,1.5
Olivier Sarr,15,2.4,0.1,0.0,0.5,0.2,2.3
Dāvis Bertāns,15,0.7,0.6,0.2,0.2,0.1,2.9
Aleksej Pokusevski,10,1.0,0.5,0.1,0.1,0.3,1.2
Mike Muscala,16,1.3,0.3,0.1,0.1,0.3,1.1
Nikola Jokić,79,12.4,9.0,1.4,0.9,3.0,26.4
Michael Porter Jr.,81,7.0,1.5,0.5,0.7,1.1,16.7
Kentavious Caldwell-Pope,76,2.4,2.4,1.3,0.6,1.0,10.1
Aaron Gordon,73,6.5,3.5,0.8,0.6,1.4,13.9
Jamal Murray,59,4.1,6.5,1.0,0.7,2.1,21.2
Reggie Jackson,82,1.9,3.8,0.5,0.2,1.3,10.2
Christian Braun,82,3.7,1.6,0.5,0.4,0.7,7.3
Peyton Watson,80,3.2,1.1,0.5,1.1,0.7,6.7
Justin Holiday,58,1.2,1.2,0.6,0.2,0.2,4.0
DeAndre Jordan,36,4.4,0.7,0.2,0.4,0.6,3.9
Julian Strawther,50,1.2,0.9,0.3,0.1,0.5,4.5
Zeke Nnaji,58,2.2,0.6,0.3,0.7,0.5,3.2
Collin Gillespie,24,0.9,1.1,0.5,0.0,0.6,3.6
Jalen Pickett,27,0.5,0.8,0.1,0.0,0.3,1.6
Braxton Key,20,0.9,0.5,0.1,0.1,0.1,1.1
Hunter Tyson,18,0.5,0.1,0.1,0.0,0.1,1.1
Jay Huff,20,0.6,0.1,0.1,0.2,0.1,1.2
Anfernee Simons,46,3.6,5.5,0.5,0.1,2.7,22.6
Jerami Grant,54,3.5,2.8,0.8,0.6,2.1,21.0
Shaedon Sharpe,32,5.0,2.9,0.9,0.4,2.3,15.9
Deandre Ayton,55,11.1,1.6,1.0,0.8,1.8,16.7
Dalano Banton,30,4.8,3.6,0.9,0.6,2.2,16.7
Malcolm Brogdon,39,3.8,5.5,0.7,0.2,1.5,15.7
Scoot Henderson,62,3.1,5.4,0.8,0.2,3.4,14.0
Toumani Camara,70,4.9,1.2,0.9,0.5,1.2,7.5
Jabari Walker,72,7.1,1.0,0.6,0.3,0.9,8.9
Matisse Thybulle,65,2.1,1.4,1.7,0.8,0.6,5.4
Kris Murray,62,3.6,1.3,0.9,0.3,0.9,6.1
Robert Williams,6,6.3,0.8,1.2,1.2,1.2,6.8
Duop Reath,68,3.7,1.0,0.5,0.6,0.8,9.1
Skylar Mays,21,1.8,3.6,0.7,0.1,0.9,6.3
Ashton Hagans,19,2.4,2.8,0.6,0.5,1.6,4.2
Rayan Rupert,39,2.4,1.6,0.3,0.1,0.8,4.0
Justin Minaya,34,1.6,0.6,0.3,0.3,0.3,1.8
Ibou Badji,22,2.3,0.6,0.1,0.9,0.7,1.5
Taze Moore,4,2.0,1.3,0.5,0.0,0.8,4.5
Jamaree Bouyea,6,1.7,1.3,0.0,0.0,1.3,1.7
Moses Brown,22,3.9,0.3,0.2,0.3,0.5,3.4
Ish Wainright,7,1.3,0.0,0.3,0.1,0.1,2.9
Lauri Markkanen,55,8.2,2.0,0.9,0.5,1.4,23.2
Jordan Clarkson,55,3.4,5.0,0.6,0.1,2.7,17.1
John Collins,68,8.5,1.1,0.6,0.9,1.4,15.1
Keyonte George,75,2.8,4.4,0.5,0.1,2.5,13.0
Collin Sexton,78,2.6,4.9,0.8,0.2,2.1,18.7
Darius Bazley,6,4.5,0.8,1.0,1.2,1.2,8.0
Walker Kessler,64,7.5,0.9,0.5,2.4,1.0,8.1
Simone Fontecchio,50,3.5,1.5,0.6,0.4,1.0,8.9
Kenneth Lofton Jr.,4,5.0,4.8,0.8,0.5,1.5,13.8
Taylor Hendricks,40,4.6,0.8,0.7,0.8,0.7,7.3
Kelly Olynyk,50,5.1,4.4,0.7,0.2,1.6,8.1
Talen Horton-Tucker,51,2.4,3.5,0.9,0.4,1.3,10.1
Ochai Agbaji,51,2.5,0.9,0.5,0.6,0.7,5.4
Kris Dunn,66,2.9,3.8,1.0,0.4,1.2,5.4
Johnny Juzang,20,1.8,1.2,0.2,0.1,0.7,7.2
Brice Sensabaugh,32,3.2,1.7,0.4,0.2,1.5,7.5
Micah Potter,16,2.7,0.4,0.3,0.4,0.3,3.3
Omer Yurtseven,48,4.3,0.6,0.2,0.4,0.8,4.6
Jason Preston,7,2.4,2.3,0.3,0.1,0.3,1.7
Kira Lewis Jr.,12,1.0,1.6,0.3,0.1,0.5,3.8
Luka Šamanić,43,2.4,0.4,0.1,0.2,0.7,4.1
Kawhi Leonard,68,6.1,3.6,1.6,0.9,1.8,23.7
James Harden,72,5.1,8.5,1.1,0.8,2.6,16.6
Paul George,74,5.2,3.5,1.5,0.5,2.1,22.6
Ivica Zubac,68,9.2,1.4,0.3,1.2,1.2,11.7
Norman Powell,76,2.6,1.1,0.6,0.3,0.9,13.9
Terance Mann,75,3.4,1.6,0.6,0.2,0.6,8.8
Robert Covington,3,2.7,2.3,2.0,0.7,0.0,3.0
Russell Westbrook,68,5.0,4.5,1.1,0.3,2.1,11.1
Amir Coffey,70,2.1,1.1,0.6,0.2,0.5,6.6
Nicolas Batum,3,2.3,1.7,1.0,1.3,0.3,2.7
Daniel Theis,59,4.1,1.0,0.4,0.9,0.7,6.3
KJ Martin,2,1.5,0.5,1.0,0.5,1.0,5.0
P.J. Tucker,28,2.5,0.6,0.5,0.2,0.2,1.6
Mason Plumlee,46,5.1,1.2,0.3,0.4,0.8,5.3
Bones Hyland,37,1.5,2.5,0.7,0.1,1.2,6.9
Brandon Boston Jr.,32,1.6,0.4,0.3,0.3,0.8,5.2
Kobe Brown,44,1.4,0.6,0.3,0.1,0.2,2.0
Xavier Moon,14,1.3,1.5,0.2,0.2,0.4,2.4
Moussa Diabaté,11,2.2,0.4,0.5,0.1,0.2,2.6
Joshua Primo,2,0.5,0.0,0.0,0.5,2.0,1.0
Jordan Miller,8,0.6,0.0,0.0,0.0,0.1,1.6
Stephen Curry,74,4.5,5.1,0.7,0.4,2.8,26.4
Klay Thompson,77,3.3,2.3,0.6,0.5,1.5,17.9
Draymond Green,55,7.2,6.0,1.0,0.9,2.5,8.6
Andrew Wiggins,71,4.5,1.7,0.6,0.6,1.2,13.2
Brandin Podziemski,74,5.8,3.7,0.8,0.2,1.2,9.2
Chris Paul,58,3.9,6.8,1.2,0.1,1.3,9.2
Jonathan Kuminga,74,4.8,2.2,0.7,0.5,1.6,16.1
Moses Moody,66,3.0,0.9,0.6,0.4,0.7,8.1
Dario Šarić,64,4.4,2.3,0.5,0.2,1.2,8.0
Trayce Jackson-Davis,68,5.0,1.2,0.4,1.1,0.7,7.9
Kevon Looney,74,5.7,1.8,0.4,0.4,0.7,4.5
Gary Payton II,44,2.6,1.1,0.9,0.4,0.6,5.5
Cory Joseph,26,1.2,1.6,0.2,0.1,0.5,2.4
Lester Quinones,37,1.9,1.0,0.2,0.1,0.5,4.4
Gui Santos,23,2.1,0.6,0.2,0.1,0.3,3.6
Pat Spencer,6,0.7,0.8,0.0,0.0,0.2,0.7
Jerome Robinson,22,0.3,0.2,0.0,0.1,0.1,1.4
Usman Garuba,6,1.2,0.2,0.2,0.5,0.3,0.5
Kevin Durant,75,6.6,5.0,0.9,1.2,3.3,27.1
Devin Booker,68,4.5,6.9,0.9,0.4,2.6,27.1
Grayson Allen,75,3.9,3.0,0.9,0.6,1.3,13.5
Bradley Beal,53,4.4,5.0,1.0,0.5,2.5,18.2
Eric Gordon,68,1.8,2.0,1.0,0.4,1.1,11.0
Jusuf Nurkić,76,11.0,4.0,1.1,1.1,2.3,10.9
Royce O'Neale,30,5.2,2.7,0.9,0.5,0.7,8.1
Josh Okogie,60,2.6,1.1,0.8,0.4,0.6,4.6
Drew Eubanks,75,4.3,0.8,0.4,0.8,0.8,5.1
Keita Bates-Diop,39,2.6,0.9,0.6,0.5,0.3,4.5
Jordan Goodwin,40,2.9,2.0,0.6,0.2,0.7,5.0
Yuta Watanabe,29,1.6,0.3,0.3,0.2,0.6,3.6
Chimezie Metu,37,3.0,0.5,0.5,0.2,0.7,5.0
Bol Bol,43,3.2,0.4,0.2,0.6,0.4,5.2
Nassir Little,45,1.7,0.5,0.2,0.2,0.3,3.4
Thaddeus Young,10,2.8,0.7,0.5,0.2,0.4,2.3
Saben Lee,24,1.3,1.3,0.3,0.1,0.3,3.0
Udoka Azubuike,16,2.0,0.2,0.1,0.4,0.3,2.2
Ish Wainright,4,1.3,0.3,0.5,0.0,0.3,0.8
David Roddy,17,0.6,0.2,0.1,0.0,0.2,1.3
Théo Maledon,4,0.3,0.0,0.0,0.0,0.8,1.3
Isaiah Thomas,6,0.0,0.5,0.0,0.0,0.0,1.3
De'Aaron Fox,74,4.6,5.6,2.0,0.4,2.6,26.6
Domantas Sabonis,82,13.7,8.2,0.9,0.6,3.3,19.4
Keegan Murray,77,5.5,1.7,1.0,0.8,0.8,15.2
Harrison Barnes,82,3.0,1.2,0.7,0.1,0.7,12.2
Malik Monk,72,2.9,5.1,0.6,0.5,2.1,15.4
Kevin Huerter,64,3.5,2.6,0.7,0.4,0.8,10.2
Trey Lyles,58,4.4,1.2,0.3,0.3,0.7,7.2
Keon Ellis,57,2.2,1.5,0.9,0.5,0.6,5.4
Davion Mitchell,72,1.3,1.9,0.2,0.0,0.6,5.3
Sasha Vezenkov,42,2.3,0.5,0.5,0.2,0.3,5.4
Chris Duarte,59,1.8,0.7,0.5,0.1,0.4,3.9
Alex Len,48,2.7,1.0,0.2,0.7,0.6,2.5
JaVale McGee,46,2.7,0.4,0.3,0.4,0.7,4.0
Colby Jones,30,1.3,0.7,0.2,0.2,0.3,2.1
Mason Jones,5,1.0,1.0,0.2,0.0,0.4,1.4
Kessler Edwards,54,0.8,0.3,0.2,0.1,0.1,1.7
Juan Toscano-Anderson,11,1.3,0.4,0.1,0.1,0.2,0.6
Jordan Ford,6,0.3,0.3,0.0,0.0,0.2,2.0
Filip Petrušev,2,0.0,0.0,0.0,0.0,0.0,1.5
Jalen Slawson,12,0.6,0.2,0.1,0.1,0.2,0.7
Ja Morant,9,5.6,8.1,0.8,0.6,3.0,25.1
Desmond Bane,42,4.4,5.5,1.0,0.5,2.7,23.7
Jaren Jackson Jr.,66,5.5,2.3,1.2,1.6,2.4,22.5
Marcus Smart,20,2.7,4.3,2.1,0.3,3.1,14.5
Jordan Goodwin,17,8.0,4.5,1.5,0.5,1.6,10.0
Vince Williams Jr.,52,5.6,3.4,0.9,0.7,1.8,10.0
Santi Aldama,61,5.8,2.3,0.7,0.9,1.1,10.7
GG Jackson II,48,4.1,1.2,0.6,0.5,1.4,14.6
Luke Kennard,39,2.9,3.5,0.5,0.1,1.4,11.0
Scotty Pippen Jr.,21,3.2,4.7,1.7,0.5,2.7,12.9
Timmy Allen,5,3.4,1.0,0.8,0.0,0.4,2.6
Trey Jemison,23,5.8,1.2,0.5,1.2,1.4,7.4
Bismack Biyombo,30,6.4,1.7,0.3,1.1,1.3,5.2
David Roddy,48,4.2,1.6,0.5,0.2,1.1,8.4
Zavier Simpson,7,2.9,3.6,1.0,0.4,1.4,6.0
Lamar Stevens,19,5.1,1.1,0.9,0.9,0.8,11.5
Jake LaRavia,35,3.7,1.7,0.8,0.3,1.3,10.8
Brandon Clarke,6,5.3,1.5,0.8,1.0,0.5,11.3
John Konchar,55,4.7,2.0,0.9,0.9,0.8,4.3
Xavier Tillman Sr.,34,4.6,1.7,1.2,1.0,0.9,6.0
Ziaire Williams,51,3.5,1.5,0.7,0.2,1.3,8.2
Tosan Evbuomwan,4,3.5,1.5,0.0,0.3,0.3,2.5
Jacob Gilyard,37,1.2,3.5,0.7,0.1,0.8,4.7
Mãozinha Pereira,7,5.3,0.3,0.9,0.6,0.7,6.9
Jaylen Nowell,9,1.6,1.8,0.3,0.0,0.6,5.7
DeJon Jarreau,9,4.9,2.9,0.7,0.2,1.0,4.8
Derrick Rose,24,1.9,3.3,0.3,0.1,1.3,8.0
Yuta Watanabe,5,1.8,1.0,0.6,0.0,0.6,2.6
Wenyen Gabriel,5,5.0,0.6,0.4,0.4,1.6,3.4
Jack White,4,3.0,0.3,1.0,0.3,0.5,1.5
Matthew Hurt,8,2.0,0.5,0.4,0.4,0.3,4.0
Kenneth Lofton Jr.,15,1.0,0.9,0.2,0.2,0.4,2.6
Shaquille Harrison,3,0.7,0.0,0.0,0.3,0.0,0.7
Brandon Ingram,64,5.1,5.7,0.8,0.6,2.5,20.8
CJ McCollum,66,4.3,4.6,0.9,0.6,1.7,20.0
Zion Williamson,70,5.8,5.0,1.1,0.7,2.8,22.9
Herbert Jones,76,3.6,2.6,1.4,0.8,1.2,11.0
Trey Murphy III,57,4.9,2.2,0.9,0.5,0.6,14.8
Jonas Valančiūnas,82,8.8,2.1,0.4,0.8,1.4,12.2
Dyson Daniels,61,3.9,2.7,1.4,0.4,1.0,5.8
Larry Nance Jr.,61,5.0,1.9,1.0,0.3,0.8,5.7
Naji Marshall,66,3.6,1.9,0.7,0.2,1.0,7.1
Jose Alvarado,56,2.3,2.1,1.1,0.3,0.7,7.1
Jordan Hawkins,67,2.2,1.0,0.3,0.1,0.6,7.8
Matt Ryan,28,1.4,0.6,0.2,0.0,0.7,5.4
Kira Lewis Jr.,15,0.9,1.2,0.3,0.1,0.5,2.9
Dereon Seabron,6,1.2,0.8,0.3,0.2,0.0,2.3
Jeremiah Robinson-Earl,39,1.9,0.5,0.3,0.1,0.4,2.9
Cody Zeller,43,2.6,0.9,0.2,0.1,0.4,1.8
Kaiser Gates,1,1.0,0.0,0.0,0.0,0.0,0.0
Jalen Crutcher,1,0.0,0.0,0.0,0.0,0.0,0.0
Izaiah Brockington,1,2.0,0.0,0.0,0.0,0.0,4.0
E.J. Liddell,8,0.6,0.1,0.3,0.3,0.3,0.5
Fred VanVleet,73,3.8,8.1,1.4,0.8,1.7,17.4
Alperen Sengun,63,9.3,5.0,1.2,0.7,2.6,21.1
Jabari Smith Jr.,76,8.1,1.6,0.7,0.8,1.2,13.7
Jalen Green,82,5.2,3.5,0.8,0.3,2.3,19.6
Dillon Brooks,72,3.4,1.7,0.9,0.1,1.2,12.7
Amen Thompson,62,6.6,2.6,1.3,0.6,1.5,9.5
Tari Eason,22,7.0,1.2,1.4,0.9,0.9,9.8
Cam Whitmore,47,3.8,0.7,0.6,0.4,1.0,12.3
Jeff Green,78,2.3,0.9,0.2,0.4,0.6,6.5
Aaron Holiday,78,1.6,1.8,0.5,0.1,0.7,6.6
Jae'Sean Tate,65,3.0,1.0,0.6,0.2,0.6,4.1
Jock Landale,56,3.1,1.2,0.4,0.6,0.6,4.9
Reggie Bullock,44,1.7,0.3,0.3,0.1,0.2,2.2
Jeenathan Williams,22,1.0,0.3,0.2,0.0,0.2,2.9
Boban Marjanović,14,2.3,0.4,0.1,0.1,0.4,3.2
Nate Hinton,15,1.5,0.7,0.2,0.1,0.2,2.2
Jermaine Samuels,14,0.9,0.2,0.1,0.1,0.0,1.4
Devin Vassell,68,3.8,4.1,1.1,0.3,1.6,19.5
Victor Wembanyama,71,10.6,3.9,1.2,3.6,3.7,21.4
Jeremy Sochan,74,6.4,3.4,0.8,0.5,1.9,11.6
Keldon Johnson,69,5.5,2.8,0.7,0.3,1.4,15.7
Tre Jones,77,3.8,6.2,1.0,0.1,1.5,10.0
Zach Collins,69,5.4,2.8,0.5,0.8,1.9,11.2
Malaki Branham,75,2.0,2.1,0.4,0.1,1.2,9.2
Julian Champagnie,74,2.8,1.4,0.6,0.6,0.8,6.8
Cedi Osman,72,2.5,1.7,0.5,0.2,0.7,6.8
Doug McDermott,46,1.0,1.2,0.2,0.0,0.5,6.0
Blake Wesley,61,1.5,2.7,0.5,0.1,0.9,4.4
Devonte' Graham,23,1.6,2.1,0.4,0.1,0.7,5.0
RaiQuan Gray,3,2.3,2.0,0.3,0.3,0.3,7.7
David Duke Jr.,4,2.5,1.3,0.5,0.0,0.8,6.5
Dominick Barlow,33,3.4,1.1,0.4,0.4,0.3,4.4
Jamaree Bouyea,3,3.0,1.0,0.3,0.0,0.3,3.7
Sidy Cissoko,12,1.8,0.8,0.6,0.3,0.3,3.8
Charles Bassey,19,4.0,1.1,0.4,0.9,0.8,3.3
Sandro Mamukelashvili,46,3.2,1.1,0.2,0.3,0.4,4.1
Mamadi Diakite,3,1.0,0.7,0.0,0.3,0.0,4.0
Luka Dončić,70,9.2,9.8,1.4,0.5,4.0,33.9
Kyrie Irving,58,5.0,5.2,1.3,0.5,1.8,25.6
P.J. Washington,29,6.2,1.5,1.2,0.9,1.0,11.7
Tim Hardaway Jr.,79,3.2,1.8,0.5,0.1,0.9,14.4
Grant Williams,47,3.6,1.7,0.5,0.6,1.1,8.1
Josh Green,57,3.2,2.3,0.8,0.2,1.1,8.2
Derrick Jones Jr.,76,3.3,1.0,0.7,0.7,0.9,8.6
Dereck Lively II,55,6.9,1.1,0.7,1.4,0.9,8.8
Daniel Gafford,29,6.9,1.6,0.7,1.9,1.0,11.2
Maxi Kleber,43,3.3,1.6,0.4,0.7,0.7,4.4
Dante Exum,55,2.7,2.9,0.4,0.1,0.9,7.8
Jaden Hardy,73,1.8,1.5,0.3,0.1,0.8,7.3
Dwight Powell,63,3.4,1.3,0.4,0.3,0.5,3.3
Alex Fudge,2,1.5,0.0,1.5,0.0,0.5,5.5
Seth Curry,36,1.4,0.8,0.5,0.1,0.4,4.3
Richaun Holmes,23,3.4,0.7,0.1,0.4,0.5,3.4
Olivier-Maxence Prosper,40,2.0,0.6,0.2,0.1,0.2,3.0
Markieff Morris,26,1.5,0.6,0.2,0.1,0.5,2.5
Dexter Dennis,4,2.3,1.0,0.0,0.3,0.8,5.5
A.J. Lawson,42,1.2,0.5,0.2,0.1,0.3,3.2
Greg Brown III,6,1.5,0.7,0.0,0.7,0.7,2.5
Brandon Williams,17,0.8,1.0,0.1,0.1,0.4,3.2